student_id,cohort_id,synthetic_split,placement_outcome_quarantined,cgpa,backlogs,tenth_percentage,twelfth_percentage,branch,semester,problem_solving_score,communication_score,assessments_completed,skill_python,skill_sql,skill_dsa,skill_git,skill_fastapi,skill_react,skill_cloud,skill_statistics,skill_powerbi,verified_skills_count,projects_count,verified_projects_count,internships_count,experience_months,certifications_count,courses_completed,avg_course_progress,resume_uploaded,profile_completeness,target_role,role_match_score,market_alignment_score,critical_skill_gaps,readiness_score,readiness_tier,is_ready
OMEN-10001,2026-ECE,train,Selected,8.43,0,69.7,77.0,ECE,7,60.5,64.6,6,70.0,49.3,73.0,44.5,27.3,47.2,68.8,80.4,36.4,4,4,3,1,4,1,3,71.4,1,95.7,AI/ML Engineer,91.1,56.3,2,69,Near-Ready,0
OMEN-10002,2026-ECE,val,Rejected,7.47,0,73.6,58.8,ECE,5,55.9,55.3,2,69.5,39.5,50.7,76.9,74.3,75.3,57.4,43.5,20.7,4,2,0,0,0,2,2,44.4,1,74.0,Software Engineer,88.8,53.6,2,57,Needs Training,0
OMEN-10003,2026-IT,train,Unplaced,8.13,0,72.5,73.2,IT,6,39.8,42.7,4,58.0,71.4,44.2,47.8,28.3,30.3,51.5,65.6,53.7,2,5,3,0,0,0,1,33.6,1,88.6,Data Analyst,84.3,53.3,3,52,Needs Training,0
OMEN-10004,2026-IT,train,Selected,7.16,0,61.2,67.7,IT,6,70.6,90.7,6,70.3,74.9,49.1,46.6,31.5,17.6,17.4,87.5,70.3,4,2,2,1,3,2,2,47.6,0,69.3,Data Analyst,95.8,60.8,0,77,Ready,1
OMEN-10005,2026-CIVIL,train,Selected,7.58,0,72.3,77.6,CIVIL,8,63.9,56.4,3,72.2,64.3,32.2,57.4,28.2,23.3,59.1,74.3,61.4,2,2,2,2,10,2,0,8.7,1,76.4,Data Analyst,91.0,57.0,1,72,Near-Ready,0
OMEN-10006,2026-MECH,train,Selected,8.5,0,86.0,75.7,MECH,6,55.5,61.7,3,80.4,84.1,78.0,70.4,47.7,47.6,44.3,80.8,63.5,5,5,4,1,3,1,1,48.4,1,85.9,Data Analyst,97.0,68.4,0,80,Ready,1
OMEN-10007,2026-EEE,train,Rejected,8.26,0,73.8,73.8,EEE,6,44.8,60.8,1,69.7,48.2,67.6,74.4,64.8,62.5,38.5,60.2,45.4,0,1,0,1,3,0,1,39.3,0,49.0,Software Engineer,93.9,56.7,0,65,Near-Ready,0
OMEN-10008,2026-ECE,train,Unplaced,7.12,0,75.8,48.7,ECE,8,55.3,63.8,2,90.2,67.7,59.4,84.3,80.2,63.0,49.7,70.1,56.2,5,7,5,1,5,0,1,48.2,1,81.9,Software Engineer,95.5,66.4,1,77,Ready,1
OMEN-10009,2026-EEE,test,Selected,6.63,0,63.2,53.5,EEE,7,46.9,64.5,6,33.7,79.6,33.3,42.0,19.7,27.4,12.2,68.0,65.2,3,2,0,0,0,1,4,84.1,0,70.6,Data Analyst,76.2,46.2,2,50,Needs Training,0
OMEN-10010,2026-EEE,train,Rejected,9.16,0,84.0,90.7,EEE,7,45.9,48.4,5,62.3,37.5,47.5,66.9,54.5,62.9,42.1,34.2,24.9,1,3,3,2,10,0,1,37.5,0,73.1,Software Engineer,82.2,45.0,2,67,Near-Ready,0
